Match ID,Runs,Mins,Ball Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Ground,Start Date,Match_Format,Opposition,Result
 Test #2128 ,1,6,8,0,0,12.5,4,caught,1,Nottingham,09-Jul-14,Test,England,Drawn Match
Test #2128 ,8,39,29,1,0,27.58,4,lbw,3,Nottingham,09-Jul-14,Test,England,Drawn Match
Test # 2130 ,25,39,34,4,0,73.52,4,caught,1,Lord's,17-Jul-14,Test,England,Win
Test #2130 ,0,1,1,0,0,0,4,bowled,3,Lord's,17-Jul-14,Test,England,Win
Test # 2132 ,39,119,75,3,0,52,4,caught,2,Southampton,27-Jul-14,Test,England,Lost
Test #2132 ,28,77,56,3,0,50,4,caught,4,Southampton,27-Jul-14,Test,England,Lost
Test #2134 ,0,3,2,0,0,0,4,caught,1,Manchester,07-Aug-14,Test,England,Lost
Test # 2134 ,7,15,11,1,0,63.63,4,caught,3,Manchester,07-Aug-14,Test,England,Lost
Test #2137 ,6,34,18,1,0,33.33,4,lbw,1,The Oval,15-Aug-14,Test,England,Lost
Test #2137 ,20,80,54,2,0,37.03,4,caught,3,The Oval,15-Aug-14,Test,England,Lost
ODI # 3517,0,1,3,0,0,0,3,caught,1,Cardiff,27-Aug-14,ODI,England,Win
 ODI # 3520,40,67,50,2,1,80,3,caught,2,Nottingham,30-Aug-14,ODI,England,Win
 ODI # 3523,1,9,3,0,0,33.33,3,not out,2,Birmingham,02-Sep-14,ODI,England,Win
 ODI # 3525,13,25,21,2,0,61.9,3,caught,2,Leeds,05-Sep-14,ODI,England,Lost
 T20I # 405,66,54,41,9,1,160.97,3,caught,2,Birmingham,07-Sep-14,T20I,England,Lost
 ODI # 3531,2,7,5,0,0,40,3,caught,2,Kochi,08-Oct-14,ODI,West Indies,Lost
 ODI # 3533,62,124,78,5,0,79.48,4,caught,1,Delhi,11-Oct-14,ODI,West Indies,Win
 ODI # 3535,127,164,114,13,3,111.4,3,run out,1,Dharamsala,17-Oct-14,ODI,West Indies,Win
 ODI # 3539,22,34,21,2,0,104.76,4,caught,1,Cuttack,02-Nov-14,ODI,Sri Lanka,Win
 ODI # 3540,49,-,44,2,2,111.36,4,caught,2,Ahmedabad,06-Nov-14,ODI,Sri Lanka,Win
 ODI # 3543,53,-,61,4,1,86.88,4,caught,2,Hyderabad,09-Nov-14,ODI,Sri Lanka,Win
 ODI # 3544,66,109,64,6,0,103.12,4,run out,1,Eden Gardens,13-Nov-14,ODI,Sri Lanka,Win
 ODI # 3547,139,192,126,12,3,110.31,4,not out,2,Ranchi,16-Nov-14,ODI,Sri Lanka,Win
 Test #2148 ,115,267,184,12,0,62.5,4,caught,2,Adelaide,09-Dec-14,Test,Australia,Lost
Test #2148 ,141,279,175,16,1,80.57,4,caught,4,Adelaide,09-Dec-14,Test,Australia,Lost
Test #2149 ,19,50,27,1,0,70.37,4,caught,1,Brisbane,17-Dec-14,Test,Australia,Lost
Test #2149 ,1,14,11,0,0,9.09,4,bowled,3,Brisbane,17-Dec-14,Test,Australia,Lost
Test #2152 ,169,380,272,18,0,62.13,4,caught,2,Melbourne,26-Dec-14,Test,Australia,Drawn Match
Test #2152,54,134,99,7,0,54.54,4,caught,4,Melbourne,26-Dec-14,Test,Australia,Drawn Match
Test # 2156 ,147,315,230,20,0,63.91,4,caught,2,Sydney,06-Jan-15,Test,Australia,Drawn Match
Test #2156 ,46,123,95,3,0,48.42,4,caught,4,Sydney,06-Jan-15,Test,Australia,Drawn Match
ODI # 3582,9,24,16,0,0,56.25,4,caught,1,Melbourne,18-Jan-15,ODI,Australia,Lost
 ODI # 3586,4,13,8,0,0,50,4,caught,1,Brisbane,20-Jan-15,ODI,England,Lost
 ODI # 3592 ,3,8,9,0,0,33.33,4,not out,1,Sydney,26-Jan-15,ODI,Australia,No_Result
ODI # 3595 ,8,26,19,0,0,42.1,3,caught,1,Perth,30-Jan-15,ODI,England,Lost
ODI # 3602 ,107,168,126,8,0,84.92,3,caught,1,Adelaide,15-Feb-15,ODI,Pakistan,Win
ODI # 3610 ,46,106,60,3,0,76.66,3,caught,1,Melbourne,22-Feb-15,ODI,South Africa,Win
