Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,1,1,0,0,0,4,bowled,3,Test v England,Lord's,17-Jul-14
39,119,75,3,0,52,4,caught,2,Test v England,Southampton,27-Jul-14
28,77,56,3,0,50,4,caught,4,Test v England,Southampton,27-Jul-14
0,3,2,0,0,0,4,caught,1,Test v England,Manchester,07-Aug-14
7,15,11,1,0,63.63,4,caught,3,Test v England,Manchester,07-Aug-14
6,34,18,1,0,33.33,4,lbw,1,Test v England,The Oval,15-Aug-14
20,80,54,2,0,37.03,4,caught,3,Test v England,The Oval,15-Aug-14
0,1,3,0,0,0,3,caught,1,ODI v England,Cardiff,27-Aug-14
40,67,50,2,1,80,3,caught,2,ODI v England,Nottingham,30-Aug-14
1*,9,3,0,0,33.33,3,not out,2,ODI v England,Birmingham,02-Sep-14
13,25,21,2,0,61.9,3,caught,2,ODI v England,Leeds,05-Sep-14
66,54,41,9,1,160.97,3,caught,2,T20I v England,Birmingham,07-Sep-14
2,7,5,0,0,40,3,caught,2,ODI v West Indies,Kochi,08-Oct-14
62,124,78,5,0,79.48,4,caught,1,ODI v West Indies,Delhi,11-Oct-14
127,164,114,13,3,111.4,3,run out,1,ODI v West Indies,Dharamsala,17-Oct-14
22,34,21,2,0,104.76,4,caught,1,ODI v Sri Lanka,Cuttack,02-Nov-14
49,-,44,2,2,111.36,4,caught,2,ODI v Sri Lanka,Ahmedabad,06-Nov-14
53,-,61,4,1,86.88,4,caught,2,ODI v Sri Lanka,Hyderabad,09-Nov-14
66,109,64,6,0,103.12,4,run out,1,ODI v Sri Lanka,Eden Gardens,13-Nov-14
139*,192,126,12,3,110.31,4,not out,2,ODI v Sri Lanka,Ranchi,16-Nov-14
115,267,184,12,0,62.5,4,caught,2,Test v Australia,Adelaide,09-Dec-14
141,279,175,16,1,80.57,4,caught,4,Test v Australia,Adelaide,09-Dec-14
19,50,27,1,0,70.37,4,caught,1,Test v Australia,Brisbane,17-Dec-14
1,14,11,0,0,9.09,4,bowled,3,Test v Australia,Brisbane,17-Dec-14
169,380,272,18,0,62.13,4,caught,2,Test v Australia,Melbourne,26-Dec-14
54,134,99,7,0,54.54,4,caught,4,Test v Australia,Melbourne,26-Dec-14
147,315,230,20,0,63.91,4,caught,2,Test v Australia,Sydney,06-Jan-15
46,123,95,3,0,48.42,4,caught,4,Test v Australia,Sydney,06-Jan-15
9,24,16,0,0,56.25,4,caught,1,ODI v Australia,Melbourne,18-Jan-15
4,13,8,0,0,50,4,caught,1,ODI v England,Brisbane,20-Jan-15
3*,8,9,0,0,33.33,4,not out,1,ODI v Australia,Sydney,26-Jan-15
8,26,19,0,0,42.1,3,caught,1,ODI v England,Perth,30-Jan-15
107,168,126,8,0,84.92,3,caught,1,ODI v Pakistan,Adelaide,15-Feb-15
46,106,60,3,0,76.66,3,caught,1,ODI v South Africa,Melbourne,22-Feb-15
33*,49,41,5,0,80.48,3,not out,2,ODI v U.A.E.,Perth,28-Feb-15
33,51,36,5,0,91.66,3,caught,2,ODI v West Indies,Perth,06-Mar-15
44*,64,42,4,1,104.76,3,not out,2,ODI v Ireland,Hamilton,10-Mar-15
38,71,48,4,0,79.16,3,bowled,2,ODI v Zimbabwe,Auckland,14-Mar-15
3,6,8,0,0,37.5,3,caught,1,ODI v Bangladesh,Melbourne,19-Mar-15
1,11,13,0,0,7.69,3,caught,2,ODI v Australia,Sydney,26-Mar-15
14,17,22,2,0,63.63,4,bowled,1,Test v Bangladesh,Fatullah,10-Jun-15
1,9,4,0,0,25,3,caught,2,ODI v Bangladesh,Mirpur,18-Jun-15
23,57,27,3,1,85.18,3,lbw,1,ODI v Bangladesh,Mirpur,21-Jun-15
25,55,35,1,0,71.42,3,bowled,1,ODI v Bangladesh,Mirpur,24-Jun-15
103,266,191,11,0,53.92,4,lbw,2,Test v Sri Lanka,Galle,12-Aug-15
3,14,10,0,0,30,5,caught,4,Test v Sri Lanka,Galle,12-Aug-15
78,178,107,8,1,72.89,4,caught,1,Test v Sri Lanka,Colombo (PSS),20-Aug-15
10,33,19,0,0,52.63,4,lbw,3,Test v Sri Lanka,Colombo (PSS),20-Aug-15
18,96,60,3,0,30,4,caught,1,Test v Sri Lanka,Colombo (SSC),28-Aug-15
21,87,63,2,0,33.33,4,caught,3,Test v Sri Lanka,Colombo (SSC),28-Aug-15
43,58,27,1,3,159.25,3,caught,1,T20I v South Africa,Dharamsala,02-Oct-15
1,3,1,0,0,100,3,run out,1,T20I v South Africa,Cuttack,05-Oct-15
11,29,18,0,0,61.11,4,caught,2,ODI v South Africa,Kanpur,11-Oct-15
12,24,18,0,0,66.66,4,run out,1,ODI v South Africa,Indore,14-Oct-15
77,155,99,5,0,77.77,3,caught,2,ODI v South Africa,Rajkot,18-Oct-15
138,202,140,6,5,98.57,3,caught,1,ODI v South Africa,Chennai,22-Oct-15
7,11,6,0,1,116.66,3,caught,2,ODI v South Africa,Wankhede,25-Oct-15
1,5,4,0,0,25,4,caught,1,Test v South Africa,Mohali,05-Nov-15
29,92,71,4,0,40.84,4,caught,3,Test v South Africa,Mohali,05-Nov-15
